"AssetId";"Name";"HostName";"Platform";"PlatformFamily";"Status";"PatchStatus";"LastCommunicated";"Categorie_SWPatch"
"123850073147936768";"SV-OS-BAK-03";"SV-OS-BAK-03.ditzlernet.local";"Microsoft Windows Server 2019 Standard";"Server";"OFFLINE";"Install Pending";"2026-04-21 12:04";"SV_SW-Std_Auto-Update-1"
"302722642744745984";"SV-OS-WDS-11";"SV-OS-WDS-11";"Microsoft Windows Server 2019 Standard";"Server";"OFFLINE";"Install Pending";"2026-05-18 09:58";"SV_SW-Std_Auto-Update-2"
"340424372689625088";"SV-OS-KMS-01";"SV-OS-KMS-01";"Microsoft Windows Server 2025 Standard";"Server";"ONLINE";"Install Pending";"2026-08-06 10:37";"SV_SW-Std_Auto-Update-2"
"572883608847360000";"SV-PB-HV-01";"SV-PB-HV-01";"Microsoft Windows Server 2019 Standard";"Server";"OFFLINE";"No Policy";"2026-08-04 15:32";"SV_SW-Std_Update-ScanOnly"
"912349820114063360";"SV-OS-MGT-11";"SV-OS-MGT-11";"Microsoft Windows Server 2025 Standard";"Server";"ONLINE";"Install Pending";"2026-08-06 10:37";"SV_SW-Std_Auto-Update-1"
"931571484474855424";"SV-OS-PRT-01";"SV-OS-PRT-01";"Microsoft Windows Server 2019 Standard";"Server";"ONLINE";"Install Pending";"2026-08-06 10:37";"SV_SW-Std_Manual-Update-Group-1"
"1022381999775703040";"SV-OS-SQLND-12";"SV-OS-SQLND-12";"Microsoft Windows Server 2025 Standard";"Server";"OFFLINE";"Fully Patched";"2026-07-29 08:54";"SV_SW-Std_NO-Update"
"1053445745967390720";"SV-OS-PRT-11";"SV-OS-PRT-11";"Microsoft Windows Server 2025 Standard";"Server";"ONLINE";"Install Pending";"2026-08-06 10:37";"SV_SW-Std_Manual-Update-Group-1"
"1113426693491871744";"SV-OS-FSND-12";"SV-OS-FSND-12";"Microsoft Windows Server 2025 Standard";"Server";"ONLINE";"Fully Patched";"2026-08-06 10:37";"SV_SW-Std_NO-Update"
"1291279533970051072";"SV-OS-MGT-01";"SV-OS-MGT-01";"Microsoft Windows Server 2019 Standard";"Server";"ONLINE";"Install Pending";"2026-08-06 10:37";"SV_SW-Std_Auto-Update-2"
"1306822750629892096";"SV-PSG-CIM-02";"SV-PSG-CIM-02";"Microsoft Windows Server 2019 Standard";"Server";"ONLINE";"Install Pending";"2026-08-06 10:37";"SV_SW-Std_Manual-Update-Group-4"
"1306826073592401920";"SV-PSG-CIM-01";"SV-PSG-CIM-01";"Microsoft Windows Server 2019 Standard";"Server";"ONLINE";"Install Pending";"2026-08-06 10:38";"SV_SW-Std_Manual-Update-Group-4"
"1635266155442036736";"SV-BI-APP-01";"SV-BI-APP-01";"Microsoft Windows Server 2012 R2 Datacenter";"Server";"ONLINE";"Install Pending";"2026-08-06 10:37";"SV_SW-Std_NO-Update"
"1635266204389564416";"SV-CEE-BI-01";"SV-CEE-BI-01";"Microsoft Windows Server 2012 R2 Datacenter";"Server";"ONLINE";"Install Pending";"2026-08-06 10:37";"SV_SW-Std_NO-Update"
"1635274626426167296";"SV-EOTEC-01";"sv-eotec-01";"Microsoft Windows Server 2016 Standard";"Server";"ONLINE";"Fully Patched";"2026-08-06 10:37";"SV_SW-Std_Manual-Update-Group-1"
"1635282824172363776";"SV-OS-IH-01";"SV-OS-IH-01";"Microsoft Windows Server 2019 Standard";"Server";"ONLINE";"Install Pending";"2026-08-06 10:38";"SV_SW-Std_Auto-Update-2"
"1635303243365441536";"SV-OS-SQLND-02";"SV-OS-SQLND-02";"Microsoft Windows Server 2019 Standard";"Server";"ONLINE";"Fully Patched";"2026-08-06 10:37";"SV_SW-Std_NO-Update"
