Sheet,Name,UpdateGroup,OS,IPAddress,UpdateDetails,SuperOpsName,AssetId,HostName,Platform,PlatformFamily,Status,PatchStatus,LastCommunicated,Category,Matched
INC-46316,SV-BI-DB-01,Gruppe 1,Microsoft Windows Server 2012 R2 Datacenter,10.100.15.132,OS Updates,SV-BI-DB-01,5230272169006956544,SV-BI-DB-01,Microsoft Windows Server 2012 R2 Datacenter,Server,ONLINE,Install Pending,2026-08-06 08:16,SV_SW-Std_Update-ScanOnly,Yes
INC-46316,SV-CEE-APP-01,Gruppe 1,Microsoft Windows Server 2012 R2 Datacenter,10.100.15.121,OS Updates,,,,,,,,,,No
INC-46316,SV-CEE-BI-01,Gruppe 1,Microsoft Windows Server 2012 R2 Datacenter,10.100.15.135,OS Updates,SV-CEE-BI-01,1635266204389564416,SV-CEE-BI-01,Microsoft Windows Server 2012 R2 Datacenter,Server,ONLINE,Install Pending,2026-08-06 08:16,SV_SW-Std_Update-ScanOnly,Yes
INC-46316,SV-CEE-DB-01,Gruppe 1,Microsoft Windows Server 2012 R2 Datacenter,10.100.15.125,OS Updates,,,,,,,,,,No
INC-46316,SV-CEE-SOM-01,Gruppe 1,Microsoft Windows Server 2012 R2 Datacenter,135.135.32.126,OS Updates,,,,,,,,,,No
INC-46316,SV-CEE-TST-01,AutoInstall,Microsoft Windows Server 2012 R2 Datacenter,10.100.15.38,OS Updates,,,,,,,,,,No
INC-46316,SV-CEE-TST-02,AutoInstall,Microsoft Windows Server 2012 R2 Datacenter,10.100.15.39,OS Updates,,,,,,,,,,No
INC-46316,SV-CODESOFT,Gruppe 1,Windows 7 Professional,10.100.15.110,OS Updates,,,,,,,,,,No
INC-46316,SV-EOTEC-01,Gruppe 1,Microsoft Windows Server 2016 Standard,10.100.15.108,OS Updates,sv-eotec-01,1635274626426167296,sv-eotec-01,Microsoft Windows Server 2016 Standard,Server,ONLINE,Fully Patched,2026-08-06 08:16,SV_SW-Std_Update-ScanOnly,Yes
INC-46316,SV-ESX-01,Kein Update,esxi 6.5 Update 3,135.135.32.122,,,,,,,,,,,No
INC-46316,SV-ESX-02,Kein Update,esxi 6.5 Update 3,135.135.32.123,,,,,,,,,,,No
INC-46316,SV-FILE-02,Gruppe 2,Microsoft Windows Server 2012 R2 Datacenter,10.100.15.15,OS Updates,,,,,,,,,,No
INC-46316,SV-GDSN-APP-01,Gruppe 2,Microsoft Windows Server 2012 R2 Datacenter,10.100.15.141,OS Updates,,,,,,,,,,No
INC-46316,SV-GDSN-APP-02,Gruppe 2,Microsoft Windows Server 2012 R2 Datacenter,10.100.15.142,OS Updates,,,,,,,,,,No
INC-46316,SV-GDSN-DB-01,Gruppe 2,Microsoft Windows Server 2012 R2 Datacenter,10.100.15.145,OS Updates,,,,,,,,,,No
INC-46316,SV-NLQA-APP-01,Gruppe 2,Microsoft Windows Server 2012 R2 Datacenter,10.100.15.128,OS Updates,,,,,,,,,,No
INC-46316,SV-NLQA-DB-01,Gruppe 2,Microsoft Windows Server 2012 R2 Datacenter,10.100.15.129,OS Updates,,,,,,,,,,No
INC-46316,SV-NU-CLUSTER-01,Nutanix,AHV,,OS Updates + Firmware Updates,,,,,,,,,,No
INC-46316,SV-OR-CS-01,Sonstige,,10.100.62.34,Firmware Updates,,,,,,,,,,No
