"Name","Category","Platform","Status"
"CLT-SETQAZ3RKUB","WS_SW-Std_Update-2","Microsoft Windows 11 Pro","OFFLINE"
"CLT-SLBS1TMGGIA","WS_SW-Std_Update-1","Microsoft Windows 11 Business","ONLINE"
"CLT-SRLJFKZCD6Y","WS_SW-Kiosk_Update-1","Microsoft Windows 11 Business","OFFLINE"
"CLT-TBCAPHTMBZ8","WS_SW-Std_Update-1","Microsoft Windows 11 Business","ONLINE"
"CLT-TE4WQBZXSK7","WS_SW-Std_Update-2","Microsoft Windows 11 Business","ONLINE"
"CLT-TICSJLGQPH0","WS_SW-Std_Update-1","Microsoft Windows 11 Business","ONLINE"
"CLT-U8EUTZSXHE0","WS_SW-Std_Update-1","Microsoft Windows 11 Business","OFFLINE"
"CLT-V0SQHULYYZG","WS_SW-Std_Update-1","Microsoft Windows 11 Business","ONLINE"
"CLT-VCMY1YXWQKB","WS_SW-Std_Update-1","Microsoft Windows 11 Pro","OFFLINE"
"CLT-VFFFZXQLBSE","WS_SW-Std_Update-2","Microsoft Windows 11 Business","ONLINE"
"CLT-VHS10TT2HBJ","WS_SW-Std_Update-2","Microsoft Windows 11 Business","OFFLINE"
"CLT-VPVLCXEY3KD","WS_SW-Std_Update-2","Microsoft Windows 11 Business","ONLINE"
"CLT-VRZSAF3GNE0","WS_SW-Kiosk_Update-1","Microsoft Windows 11 Business","ONLINE"
"CLT-VVKS5CNCQUV","WS_SW-Std_Update-2","Microsoft Windows 11 Business","ONLINE"
"CLT-VW0FENKYOWL","WS_SW-Std_Update-1","Microsoft Windows 11 Pro","OFFLINE"
"CLT-W4EKQRZGNWJ","WS_SW-Std_Update-1","Microsoft Windows 11 Business","ONLINE"
"CLT-WUDRWI9DOXN","WS_SW-Std_Update-1","Microsoft Windows 11 Business","OFFLINE"
"CLT-XC8M5CRYPNN","WS_SW-Std_Update-2","Microsoft Windows 11 Business","OFFLINE"
"CLT-Y3ORLXYPVCR","WS_SW-Std_Update-1","Microsoft Windows 11 Business","ONLINE"
"CLT-YBYNPOZXTYE","WS_SW-Std_Update-1","Microsoft Windows 11 Business","ONLINE"
"CLT-YC0YQD7EHS1","WS_SW-Std_Update-1","Microsoft Windows 11 Business","ONLINE"
"CLT-YJDL7FFKPES","WS_SW-Std_Update-1","Microsoft Windows 11 Business","OFFLINE"
"CLT-YNLM8GU93HN","WS_SW-Std_Update-1","Microsoft Windows 11 Business","OFFLINE"
"CLT-Z0DROE97T0C","WS_SW-Std_Update-1","Microsoft Windows 11 Business","OFFLINE"
"CLT-ZAM1JQNCOCR","WS_SW-Std_Update-2","Microsoft Windows 11 Business","OFFLINE"
"CLT-ZIQB4G8VGG9","WS_SW-Std_Update-1","Microsoft Windows 11 Business","ONLINE"
"CLT-ZKHCK47VJZ4","WS_SW-Std_Update-1","Microsoft Windows 11 Business","ONLINE"
"CLT-ZOA9CMAOEER","WS_SW-Std_Update-1","Microsoft Windows 11 Business","ONLINE"
"SV-BI-APP-01","SV_SW-Std_Update-ScanOnly","Microsoft Windows Server 2012 R2 Datacenter","ONLINE"
"SV-BI-DB-01","SV_SW-Std_Update-ScanOnly","Microsoft Windows Server 2012 R2 Datacenter","ONLINE"
"SV-CEE-BI-01","SV_SW-Std_Update-ScanOnly","Microsoft Windows Server 2012 R2 Datacenter","ONLINE"
"SV-DMZ-DVL-01","SV_SW-Std_Auto-Update-1","Microsoft Windows Server 2019 Standard","OFFLINE"
"SV-DMZ-DVL-11","SV_SW-Std_Auto-Update-1","Microsoft Windows Server 2025 Standard","ONLINE"
"SV-DMZ-LF-JP-01","SV_SW-Std_Auto-Update-1","Microsoft Windows Server 2025 Standard","ONLINE"
"SV-EOTEC-01","SV_SW-Std_Update-ScanOnly","Microsoft Windows Server 2016 Standard","ONLINE"
"SV-OS-ADC-11","SV_SW-Std_Auto-Update-1","Microsoft Windows Server 2025 Standard","ONLINE"
"SV-OS-ADC-12","SV_SW-Std_Auto-Update-2","Microsoft Windows Server 2025 Standard","ONLINE"
"SV-OS-APP-01","SV_SW-Std_Auto-Update-1","Microsoft Windows Server 2019 Standard","ONLINE"
"SV-OS-APP-02","SV_SW-Std_Auto-Update-1","Microsoft Windows Server 2019 Standard","ONLINE"
"SV-OS-BAK-01","SV_SW-Std_Auto-Update-2","Microsoft Windows Server 2019 Standard","OFFLINE"
"SV-OS-BAK-02","","ubuntu","OFFLINE"
"SV-OS-BAK-03","SV_SW-Std_Auto-Update-1","Microsoft Windows Server 2019 Standard","OFFLINE"
"SV-OS-BAK-11","","ubuntu","ONLINE"
"SV-OS-BAK-12","SV_SW-Std_Auto-Update-1","Microsoft Windows Server 2025 Standard","ONLINE"
"SV-OS-CEE-TA-01","SV_SW-Std_Auto-Update-1","Microsoft Windows Server 2019 Standard","ONLINE"
"SV-OS-CR-01","SV_SW-Std_Update-ScanOnly","Microsoft Windows Server 2019 Standard","ONLINE"
"SV-OS-DC-01","SV_SW-Std_Auto-Update-1","Microsoft Windows Server 2019 Datacenter","ONLINE"
"SV-OS-DC-02","SV_SW-Std_Auto-Update-2","Microsoft Windows Server 2019 Datacenter","ONLINE"
"SV-OS-DEV-01","WS_SW-Std_Update-1","Microsoft Windows Server 2025 Standard","ONLINE"
"SV-OS-DF-01","","ubuntu","ONLINE"
"SV-OS-DF-DB-01","","ubuntu","ONLINE"
"SV-OS-DF-TA-01","","ubuntu","ONLINE"
"SV-OS-FSND-01","SV_SW-Std_Update-ScanOnly","Microsoft Windows Server 2019 Standard","OFFLINE"
"SV-OS-FSND-02","SV_SW-Std_Update-ScanOnly","Microsoft Windows Server 2019 Standard","OFFLINE"
"SV-OS-FSND-11","SV_SW-Std_Update-ScanOnly","Microsoft Windows Server 2025 Standard","ONLINE"
"SV-OS-FSND-12","SV_SW-Std_Update-ScanOnly","Microsoft Windows Server 2025 Standard","ONLINE"
"SV-OS-HV-11","","ubuntu","OFFLINE"
"SV-OS-IH-01","SV_SW-Std_Auto-Update-2","Microsoft Windows Server 2019 Standard","ONLINE"
"SV-OS-JUMP-01","SV_SW-Std_Auto-Update-1","Microsoft Windows Server 2022 Standard Evaluation","ONLINE"
"SV-OS-KMS-01","SV_SW-Std_Auto-Update-2","Microsoft Windows Server 2025 Standard","ONLINE"
"SV-OS-MGT-01","SV_SW-Std_Auto-Update-2","Microsoft Windows Server 2019 Standard","ONLINE"
"SV-OS-MGT-11","SV_SW-Std_Auto-Update-1","Microsoft Windows Server 2025 Standard","ONLINE"
"SV-OS-NL-01","SV_SW-Std_Update-ScanOnly","Microsoft Windows Server 2019 Standard","ONLINE"
"SV-OS-OIP-01","SV_SW-Std_Update-ScanOnly","Microsoft Windows Server 2019 Standard","ONLINE"
"SV-OS-PRB-01","SV_SW-AV-Rly_Auto-Update-2","Microsoft Windows Server 2025 Standard","ONLINE"
"SV-OS-PRT-01","SV_SW-Std_Update-ScanOnly","Microsoft Windows Server 2019 Standard","ONLINE"
"SV-OS-PRT-11","SV_SW-Std_Update-ScanOnly","Microsoft Windows Server 2025 Standard","ONLINE"
"SV-OS-PRTG-01","SV_SW-Std_Auto-Update-2","Microsoft Windows Server 2025 Standard","ONLINE"
"SV-OS-PWR-01","SV_SW-Std_Update-ScanOnly","Microsoft Windows Server 2019 Standard","ONLINE"
"SV-OS-SAGE-01","SV_SW-Std_Update-ScanOnly","Microsoft Windows Server 2019 Standard","ONLINE"
"SV-OS-SQLND-01","SV_SW-Std_Update-ScanOnly","Microsoft Windows Server 2019 Standard","ONLINE"
"SV-OS-SQLND-02","SV_SW-Std_Update-ScanOnly","Microsoft Windows Server 2019 Standard","ONLINE"
"SV-OS-SQLND-05","","Microsoft Windows Server 2022 Standard","OFFLINE"
"SV-OS-SQLND-11","","Microsoft Windows Server 2025 Standard","OFFLINE"
"SV-OS-SQLND-12","","Microsoft Windows Server 2025 Standard","OFFLINE"
"SV-OS-TIME-01","SV_SW-Std_Update-ScanOnly","Microsoft Windows Server 2019 Standard","ONLINE"
"SV-OS-TIME-11","","Microsoft Windows Server 2025 Standard","ONLINE"
"SV-OS-UPS-01","SV_SW-Std_Auto-Update-1","Microsoft Windows Server 2019 Standard","OFFLINE"
"SV-OS-WDS-11","SV_SW-Std_Auto-Update-2","Microsoft Windows Server 2019 Standard","OFFLINE"
"SV-OS-WSUS-01","","Microsoft Windows Server 2025 Standard","ONLINE"
"SV-PB-DVL-11","SV_SW-Std_Auto-Update-1","Microsoft Windows Server 2025 Standard","ONLINE"
"SV-PB-HV-01","SV_SW-Std_Update-ScanOnly","Microsoft Windows Server 2019 Standard","OFFLINE"
"SV-PB-PRB-11","SV_SW-AV-Rly_Auto-Update-2","Microsoft Windows Server 2025 Standard","ONLINE"
"SV-PSG-CIM-01","SV_SW-Std_Update-ScanOnly","Microsoft Windows Server 2019 Standard","ONLINE"
"SV-PSG-CIM-02","SV_SW-Std_Update-ScanOnly","Microsoft Windows Server 2019 Standard","ONLINE"
"SV-PSG-DC-01","SV_SW-Std_Auto-Update-1","Microsoft Windows Server 2019 Standard","ONLINE"
"SV-PSG-DC-02","SV_SW-Std_Auto-Update-2","Microsoft Windows Server 2019 Standard","ONLINE"
"SV-PSG-HIST-01","SV_SW-Std_Update-ScanOnly","Microsoft Windows Server 2019 Standard","ONLINE"
